DialogNode|dialog|Cecilia|How are you feeling?|¿Cómo te sientes?|3|[@DialogNode@221]
@DialogNode@221|dialog|Claire|Ja. ¿Cómo crees? Aún no me acostumbro a no sentir las piernas.|Ja. ¿Cómo crees? Aún no me acostumbro a no sentir las piernas.|6|[@DialogNode@256]
@DialogNode@256|dialog|Claire|I can't stop feeling so useless... I really appreciate what you're doing.|No puedo dejar de sentirme inservible... De verdad agradezco lo que estás haciendo.|8|[@DialogNode@278]
@DialogNode@278|dialog|Cecilia|I would be trapped forever in that place without your help. Taking care of you is the least I can do to thank you.|Sin tu ayuda habría quedado atrapada por siempre en ese lugar. Hacerme cargo de ti es lo mínimo que puedo hacer para agradecerte.|8|[@DialogNode@300]
@DialogNode@300|dialog|Claire|The important thing is that we are free and we are together.|Lo importante es que somos libres y estamos juntas.|4|[ActionNode]
ActionNode|action|{	"action": "Dialogue/clear"}|[@DialogNode@322]
@DialogNode@322|dialog|Claire|Cecilia, could you bring my clothes from the laundry?|Cecilia, ¿podrías ir por mi ropa a la lavandería?|4|[@DialogNode@344]
@ActionNode@431|action|{	"action": "Dialogue/clear"}|[EmbeddedDialogue]
EmbeddedDialogue|embedded|res://Levels/act5/dlg02.data|[]
@DialogNode@344|dialog|Cecilia|Of course.|Por supuesto.|2|[@ActionNode@431]
